ticker,ticker_original,ipo_date_stockanalysis,ipo_price,current,name,return
CLA,,2020-08-21,10.00,13.28,Colonnade Acquisition,32.75%
CLAS,CLAS,2021-01-15,10.00,10.82,Class Acceleration,8.20%
CLEU,,2020-05-08,6.00,3.89,China Liberal Education Holdings,-35.17%
CLII,,2020-09-30,10.00,21.99,Climate Change Crisis Real Impact I,119.90%
CMBM,,2019-06-26,12.00,34.32,Cambium Networks,186.00%
CMLF,,2020-09-02,10.00,12.18,CM Life Sciences,21.80%
CMPI,,2020-08-07,15.00,14.89,Checkmate Pharmaceuticals,-0.73%
CMPS,,2020-09-18,17.00,48.05,COMPASS Pathways,182.65%
CND,,2020-12-08,10.00,10.90,Concord Acquisition,9.00%
CNSP,,2019-11-08,4.00,2.05,CNS Pharmaceuticals,-48.88%
CNTG,,2019-11-07,14.00,12.15,Centogene,-13.25%
CONX,,2020-10-30,10.00,10.49,CONX Corp.,4.90%
